Celex	Celex	NNP
with	with	IN
Article III-340	Article III-340	NNP
,	,	,
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
may	may	MD
vote	vote	VB
on	on	IN
a	a	DT
censure	censure	JJ
motion	motion	NN
on	on	IN
the	the	DT
Commission	Commission	NNP
.	.	.
If	if	IN
such	such	PDT
a	a	DT
motion	motion	NN
is	be	VBZ
carried	carry	VBN
,	,	,
the	the	DT
members	member	NNS
of	of	IN
the	the	DT
Commission	Commission	NNP
shall	shall	MD
resign	resign	VB
as	as	IN
a	a	DT
body	body	NN
and	and	CC
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNP
shall	shall	NNP
resign	resign	VBD
from	from	IN
the	the	DT
duties	duty	NNS
that	that	IN
he	he	PRP
or	or	CC
she	she	PRP
carries	carry	VBZ
out	out	IN
in	in	IN
the	the	DT
Commission	Commission	NNP
.	.	.
Article I-27	Article I-27	CD
The	the	DT
President	President	NNP
of	of	IN
the	the	DT
European	European	NNP
Commission	Commission	NNP
1.	@ord@	CD
Taking	take	NNP
into	into	IN
account	account	NN
the	the	DT
elections	election	NNS
to	to	TO
the	the	DT
European Parliament	European Parliament	NNP
and	and	CC
after	after	IN
having	have	VBG
held	hold	VBD
the	the	DT
appropriate	appropriate	JJ
consultations	consultation	NNS
,	,	,
the	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
,	,	,
shall	shall	MD
propose	propose	VB
to	to	TO
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
a	a	DT
candidate	candidate	NN
for	for	IN
President	President	NNP
of	of	IN
the	the	DT
Commission	Commission	NNP
.	.	.
This	this	DT
candidate	candidate	NN
shall	shall	MD
be	be	VB
elected	elect	VBN
by	by	IN
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
by	by	IN
a	a	DT
majority	majority	NN
of	of	IN
its	its	PRP$
component	component	JJ
members	member	NNS
.	.	.
If	if	IN
he	he	PRP
or	or	CC
she	she	PRP
does	do	VBZ
not	not	RB
obtain	obtain	VB
the	the	DT
required	require	JJ
majority	majority	NN
,	,	,
the	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
,	,	,
shall	shall	NN
within	within	IN
one	one	CD
month	month	NN
propose	propose	VBP
a	a	DT
new	new	JJ
candidate	candidate	NN
who	who	WP
shall	shall	MD
be	be	VB
elected	elect	VBN
by	by	IN
the	the	DT
European Parliament	European Parliament	NNP
following	follow	VBD
the	the	DT
same	same	JJ
procedure	procedure	NN
.	.	.
2.	@ord@	CD
The	the	DT
Council	Council	NNP
,	,	NN
by	by	IN
common	common	JJ
accord	accord	NN
with	with	IN
the	the	DT
President-elect	president-elect	NN
,	,	,
shall	shall	MD
adopt	adopt	VB
the	the	DT
list	list	NN
of	of	IN
the	the	DT
other	other	JJ
persons	person	NNS
whom	whom	WP
it	it	PRP
proposes	propose	VBZ
for	for	IN
appointment	appointment	NN
as	as	IN
members	member	NNS
of	of	IN
the	the	DT
Commission	Commission	NNP
.	.	.
They	they	PRP
shall	shall	MD
be	be	VB
selected	select	VBN
,	,	NN
on	on	IN
the	the	DT
basis	basis	NN
of	of	IN
the	the	DT
suggestions	suggestion	NNS
made	make	VBN
by	by	IN
Member	Member	NNP
States	States	NNP
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
criteria	criterion	NN
set	set	VBD
out	out	RP
in	in	IN
Article I-26(4	Article I-26(4	JJ
)	)	NN
and	and	CC
(	(	(
6	6	CD
)	)	)
,	,	,
second	second	JJ
subparagraph	subparagraph	NN
.	.	.
The	the	DT
President	President	NNP
,	,	,
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
and	and	CC
the	the	DT
other	other	JJ
members	member	NNS
of	of	IN
the	the	DT
Commission	Commission	NNP
shall	shall	MD
be	be	VB
subject	subject	JJ
as	as	IN
a	a	DT
body	body	NN
to	to	TO
a	a	DT
vote	vote	NN
of	of	IN
consent	consent	NN
by	by	IN
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
.	.	.
On	on	IN
the	the	DT
basis	basis	NN
of	of	IN
this	this	DT
consent	consent	NN
the	the	DT
Commission	Commission	NNP
shall	shall	MD
be	be	VB
appointed	appoint	VBN
by	by	IN
the	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
.	.	.
3.	@ord@	CD
The	the	DT
President	President	NNP
of	of	IN
the	the	DT
Commission	Commission	NNP
shall	shall	MD
:	:	VB
(	(	(
a	a	NN
)	)	)
lay	lay	VBD
down	down	IN
guidelines	guideline	NNS
within	within	IN
which	which	VBG
the	the	DT
Commission	Commission	NNP
is	be	VBZ
to	to	TO
work	work	NN
;	;	NN
(	(	(
b	b	NN
)	)	)
decide	decide	NN
on	on	IN
the	the	DT
internal	internal	JJ
organisation	organization	NN
of	of	IN
the	the	DT
Commission	Commission	NNP
,	,	,
ensuring	ensure	NN
that	that	IN
it	it	PRP
acts	act	VBZ
consistently	consistently	RB
,	,	,
efficiently	efficiently	RB
and	and	CC
as	as	IN
a	a	DT
collegiate	collegiate	JJ
body	body	NN
;	;	:
(	(	(
c	c	NN
)	)	)
appoint	appoint	NN
Vice-Presidents	Vice-Presidents	NNS
,	,	,
other	other	JJ
than	than	IN
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNP
,	,	,
from	from	VBD
among	amongst	IN
the	the	DT
members	member	NNS
of	of	IN
the	the	DT
Commission	Commission	NNP
.	.	.
A	a	DT
member	member	NN
of	of	IN
the	the	DT
Commission	Commission	NNP
shall	shall	MD
resign	resign	VB
if	if	IN
the	the	DT
President	President	NNP
so	so	IN
requests	request	NNS
.	.	.
The	the	NNP
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNP
shall	shall	NNP
resign	resign	NNP
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
procedure	procedure	NN
set	set	VBD
out	out	RP
in	in	IN
article I-28(1	article I-28(1	JJ
)	)	NN
,	,	,
if	if	IN
the	the	DT
President	President	NNP
so	so	IN
requests	request	NNS
.	.	.
Article I-28	Article I-28	CD
The	the	DT
Union Minister	Union Minister	NNP
for	for	IN
Foreign Affairs	Foreign Affairs	NNP
1.	@ord@	CD
The	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
,	,	NN
with	with	IN
the	the	DT
agreement	agreement	NN
of	of	IN
the	the	DT
President	President	NNP
of	of	IN
the	the	DT
Commission	Commission	NNP
,	,	,
shall	shall	MD
appoint	appoint	VB
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
.	.	.
The	the	DT
European	European	NNP
Council	Council	NNP
may	may	MD
end	end	VB
his	his	NNS
or	or	CC
her	her	PRP$
term	term	NN
of	of	IN
office	office	NN
by	by	IN
the	the	DT
same	same	JJ
procedure.2	procedure.2	CD
.	.	.
The	the	NNP
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign Affairs	Foreign Affairs	NNP
shall	shall	MD
conduct	conduct	VB
the	the	DT
Union's	Union's	NNP
common	common	JJ
foreign	foreign	NN
and	and	CC
security	security	JJ
policy	policy	NN
.	.	.
He	he	PRP
or	or	CC
she	she	PRP
shall	shall	MD
contribute	contribute	VB
by	by	IN
his	his	NNS
or	or	CC
her	her	PRP$
proposals	proposal	NNS
to	to	TO
the	the	DT
development	development	NN
of	of	IN
that	that	DT
policy	policy	NN
,	,	,
which	which	WDT
he	he	PRP
or	or	CC
she	she	PRP
shall	shall	MD
carry	carry	VB
out	out	RP
as	as	IN
mandated	mandate	VBN
by	by	IN
the	the	DT
Council	Council	NNP
.	.	.
The	the	DT
same	same	NN
shall	shall	MD
apply	apply	VB
to	to	TO
the	the	DT
common	common	JJ
security	security	NN
and	and	CC
defence	defence	NN
policy.3	policy.3	CD
.	.	.
The	the	NNP
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNP
shall	shall	NNP
preside	preside	VBD
over	over	IN
the	the	DT
Foreign	Foreign	NNP
Affairs	Affairs	NNP
Council.4	Council.4	NNP
.	.	.
The	the	DT
Union Minister	Union Minister	NNP
for	for	IN
Foreign Affairs	Foreign Affairs	NNP
shall	shall	MD
be	be	VB
one	one	CD
of	of	IN
the	the	DT
Vice-Presidents	Vice-Presidents	NNS
of	of	IN
the	the	DT
Commission	Commission	NNP
.	.	.
He	he	PRP
or	or	CC
she	she	PRP
shall	shall	MD
ensure	ensure	VB
the	the	DT
consistency	consistency	NN
of	of	IN
the	the	DT
Union's	Union's	NNP
external	external	JJ
action	action	NN
.	.	.
He	he	PRP
or	or	CC
she	she	PRP
shall	shall	MD
be	be	VB
responsible	responsible	VBN
within	within	IN
the	the	DT
Commission	Commission	NNP
for	for	IN
responsibilities	responsibility	NNS
incumbent	incumbent	VBN
on	on	IN
it	it	NN
in	in	IN
external	external	JJ
relations	relation	NNS
and	and	CC
for	for	IN
coordinating	coordinate	VBP
other	other	JJ
aspects	aspect	NNS
of	of	IN
the	the	DT
Union's	Union's	NNP
external	external	JJ
action	action	NN
.	.	.
In	in	IN
exercising	exercise	VBG
these	these	DT
responsibilities	responsibility	NNS
within	within	IN
the	the	DT
Commission	Commission	NNP
,	,	,
and	and	CC
only	only	RB
for	for	IN
these	these	DT
responsibilities	responsibility	NNS
,	,	,
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
shall	shall	MD
be	be	VB
bound	bind	VBN
by	by	IN
Commission	Commission	NNP
procedures	procedure	NNS
to	to	TO
the	the	DT
extent	extent	NN
that	that	IN
this	this	DT
is	be	VBZ
consistent	consistent	JJ
with	with	IN
paragraphs 2	paragraphs 2	CD
and 3	and 3	CD
.	.	.
Article I-29	Article I-29	CD
The	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
1.	@ord@	CD
The	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
shall	shall	MD
include	include	VB
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
,	,	,
the	the	DT
General	General	NNP
Court	Court	NNP
and	and	CC
specialised	specialize	JJ
courts	court	NNS
.	.	.
It	it	PRP
shall	shall	MD
ensure	ensure	VB
that	that	IN
in	in	IN
the	the	DT
interpretation	interpretation	NN
and	and	CC
application	application	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
the	the	DT
law	law	NN
is	be	VBZ
observed	observe	VBN
.	.	.
Member	Member	NNP
States	States	NNP
shall	shall	MD
provide	provide	VB
remedies	remedy	RB
sufficient	sufficient	JJ
to	to	TO
ensure	ensure	VB
effective	effective	JJ
legal	legal	JJ
protection	protection	NN
in	in	IN
the	the	DT
fields	field	NNS
covered	cover	VBN
by	by	IN
Union	Union	NNP
law	law	NN
.	.	.
2.	@ord@	CD
The	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
shall	shall	NNP
consist	consist	NN
of	of	IN
one	one	CD
judge	judge	NN
from	from	IN
each	each	DT
Member	Member	NNP
State	State	NNP
.	.	.
It	it	PRP
shall	shall	MD
be	be	VB
assisted	assist	VBN
by	by	IN
Advocates-General	Advocates-General	NNP
.	.	.
The	the	DT
General	General	NNP
Court	Court	NNP
shall	shall	MD
include	include	VB
at	at	IN
least	least	JJS
one	one	CD
judge	judge	NN
per	per	IN
Member State	Member State	NNP
.	.	.
The	the	DT
Judges	Judges	NNP
and	and	CC
the	the	DT
Advocates-General	Advocates-General	NN
of	of	IN
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
and	and	CC
the	the	DT
Judges	judge	NNS
of	of	IN
the	the	DT
General	General	NNP
Court	Court	NNP
shall	shall	MD
be	be	VB
chosen	choose	VBN
from	from	IN
persons	person	NNS
whose	whose	JJ
independence	independence	NN
is	be	VBZ
beyond	beyond	IN
doubt	doubt	NN
and	and	CC
who	who	WP
satisfy	satisfy	VB
the	the	DT
conditions	condition	NNS
set	set	VBD
out	out	IN
in	in	IN
Articles III-355	Articles III-355	NNP
and	and	CC
III-356	III-356	NNP
.	.	.
They	they	PRP
shall	shall	MD
be	be	VB
appointed	appoint	VBN
by	by	IN
common	common	JJ
accord	accord	NN
of	of	IN
the	the	DT
governments	government	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNPS
for	for	IN
six	six	CD
years	year	NNS
.	.	.
Retiring	retire	NNP
Judges	Judges	NNP
and	and	CC
Advocates-General	Advocates-General	NNP
may	may	MD
be	be	VB
reappointed	reappoint	VBN
.	.	.
3.	@ord@	CD
The	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
shall	shall	NN
in	in	IN
accordance	accordance	NN
with	with	IN
Part III	Part III	NNP
:	:	NNP
(	(	(
a	a	NN
)	)	)
rule	rule	NN
on	on	IN
actions	action	NNS
brought	bring	VBN
by	by	IN
a	a	DT
Member State	Member State	NNP
,	,	,
an	an	DT
institution	institution	NN
or	or	CC
a	a	DT
natural	natural	JJ
or	or	CC
legal	legal	JJ
person	person	NN
;	;	JJ
(	(	(
b	b	NN
)	)	)
give	give	VB
preliminary	preliminary	JJ
rulings	ruling	NNS
,	,	,
at	at	IN
the	the	DT
request	request	NN
of	of	IN
courts	court	NNS
or	or	CC
tribunals	tribunal	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNP
,	,	,
on	on	IN
the	the	DT
interpretation	interpretation	NN
of	of	IN
Union	Union	NNP
law	law	NN
or	or	CC
the	the	DT
validity	validity	NN
of	of	IN
acts	act	NNS
adopted	adopt	VBN
by	by	IN
the	the	DT
institutions	institution	NNS
;	;	:
(	(	(
c	c	NN
)	)	)
rule	rule	NN
in	in	IN
other	other	JJ
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
CHAPTER	chapter	NNP
II	II	NNP
THE	the	DT
OTHER	other	NNP
UNION	union	NNP
INSTITUTIONS	institution	NNP
AND	and	NNP
ADVISORY	advisory	NNP
BODIES	body	NNP
Article I-30	Article I-30	CD
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
1.	@ord@	CD
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
,	,	,
together	together	NN
with	with	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
,	,	,
shall	shall	MD
constitute	constitute	VB
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
,	,	,
together	together	NN
with	with	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNPS
whose	whose	WP$
currency	currency	NN
is	be	VBZ
the	the	DT
euro	euro	NN
,	,	,
which	which	WDT
constitute	constitute	VBP
the	the	DT
Eurosystem	Eurosystem	NNP
,	,	,
shall	shall	MD
conduct	conduct	VB
the	the	DT
monetary	monetary	JJ
policy	policy	NN
of	of	IN
the	the	DT
Union.2	Union.2	NNP
.	.	.
The	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
shall	shall	MD
be	be	VB
governed	govern	VBN
by	by	IN
the	the	DT
decision-making	decision-making	JJ
bodies	body	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
The	the	DT
primary	primary	JJ
objective	objective	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
shall	shall	MD
be	be	VB
to	to	TO
maintain	maintain	VB
price	price	NN
stability	stability	NN
.	.	.
Without	without	IN
prejudice	prejudice	NN
to	to	NN
that	that	DT
objective	objective	NN
,	,	,
it	it	PRP
shall	shall	MD
support	support	VB
the	the	DT
general	general	JJ
economic	economic	JJ
policies	policy	NNS
in	in	IN
the	the	DT
Union	Union	NNP
in	in	IN
order	order	NN
to	to	TO
contribute	contribute	VB
to	to	TO
the	the	DT
achievement	achievement	NN
of	of	IN
the	the	DT
latter's	latter's	NNS
objectives	objective	NNS
.	.	.
It	it	PRP
shall	shall	MD
conduct	conduct	VB
other	other	NNP
Central	Central	NNP
Bank	Bank	NNP
tasks	task	NNS
in	in	IN
accordance	accordance	NN
with	with	IN
Part III	Part III	NNP
and	and	CC
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
and	and	CC
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank.3	Bank.3	NNP
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
is	be	VBZ
an	an	DT
institution	institution	NN
.	.	.
It	it	PRP
shall	shall	MD
have	have	VB
legal	legal	JJ
personality	personality	NN
.	.	.
It	it	PRP
alone	alone	RB
may	may	MD
authorise	authorize	VB
the	the	DT
issue	issue	NN
of	of	IN
the	the	DT
euro	euro	NN
.	.	.
It	it	PRP
shall	shall	MD
be	be	VB
independent	independent	VBN
in	in	IN
the	the	DT
exercise	exercise	NN
of	of	IN
its	its	PRP$
powers	power	NNS
and	and	CC
in	in	IN
the	the	DT
management	management	NN
of	of	IN
its	its	PRP$
finances	finance	NNS
.	.	.
Union	Union	JJ
institutions	institution	NNS
,	,	,
bodies	body	NNS
,	,	,
offices	office	NNS
and	and	CC
agencies	agency	NNS
and	and	CC
the	the	DT
governments	government	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNP
shall	shall	MD
respect	respect	VB
that	that	IN
independence.4	independence.4	CD
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
adopt	adopt	VB
such	such	JJ
measures	measure	NNS
as	as	NNS
are	be	VBP
necessary	necessary	JJ
to	to	TO
carry	carry	VB
out	out	IN
its	its	PRP$
tasks	task	NNS
in	in	IN
accordance	accordance	NN
with	with	IN
Articles III-185	Articles III-185	JJ
to	to	TO
III-191	III-191	NNP
and	and	CC
Article III-196	Article III-196	NNP
,	,	,
and	and	CC
with	with	IN
the	the	DT
conditions	condition	NNS
laid	lay	VBD
down	down	IN
in	in	IN
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
and	and	CC
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
In	in	IN
accordance	accordance	NN
with	with	IN
these	these	DT
same	same	JJ
Articles	article	NNS
,	,	,
those	those	DT
Member	Member	NNP
States	States	NNPS
whose	whose	WP$
currency	currency	NN
is	be	VBZ
not	not	RB
the	the	DT
euro	euro	NN
,	,	,
and	and	CC
their	their	PRP$
central	central	JJ
banks	bank	NNS
,	,	,
shall	shall	MD
retain	retain	VB
their	their	PRP$
powers	power	NNS
in	in	IN
monetary	monetary	JJ
matters.5	matters.5	CD
.	.	.
Within	within	IN
the	the	DT
areas	area	NNS
falling	fall	NN
within	within	IN
its	its	PRP$
responsibilities	responsibility	NNS
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
be	be	VB
consulted	consult	VBN
on	on	IN
all	all	DT
proposed	propose	VBN
Union	Union	NNP
acts	act	NNS
,	,	,
and	and	CC
all	all	DT
proposals	proposal	NNS
for	for	IN
regulation	regulation	NN
at	at	IN
national	national	JJ
level	level	NN
,	,	,
and	and	CC
may	may	MD
give	give	VB
an	an	DT
opinion.6	opinion.6	NN
.	.	.
The	the	DT
decision-making	decision-making	JJ
organs	organ	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
,	,	,
their	their	PRP$
composition	composition	NN
and	and	CC
operating	operating	NN
methods	method	NNS
are	be	VBP
set	set	VBN
out	out	RP
in	in	IN
Articles III-382	Articles III-382	NNP
and	and	CC
III-383	III-383	NNP
,	,	,
as	as	RB
well	well	RB
as	as	IN
in	in	IN
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central Banks	Central Banks	NNP
and	and	CC
of	of	IN
the	the	DT
European Central Bank	European Central Bank	NNP
.	.	.
Article I-31	Article I-31	CD
The	the	DT
Court	court	NNP
of	of	IN
Auditors	auditor	NNPS
1.	@ord@	CD
The	the	DT
Court	court	NNP
of	of	IN
Auditors	auditor	NNP
is	be	VBZ
an	an	DT
institution	institution	NN
.	.	.
It	it	PRP
shall	shall	MD
carry	carry	VB
out	out	IN
the	the	DT
Union's	Union's	NNP
audit.2	audit.2	CD
.	.	.
It	it	PRP
shall	shall	MD
examine	examine	VB
the	the	DT
accounts	account	NNS
of	of	IN
all	all	DT
Union	Union	NNP
revenue	revenue	NN
and	and	CC
expenditure	expenditure	NN
,	,	,
and	and	CC
shall	shall	MD
ensure	ensure	VB
good	good	JJ
financial	financial	JJ
management.3	management.3	NN
.	.	.
It	it	PRP
shall	shall	MD
consist	consist	VB
of	of	IN
one	one	CD
national	national	NN
of	of	IN
each	each	DT
Member State	Member State	NNP
.	.	.
Its	its	PRP$
members	member	NNS
shall	shall	MD
be	be	VB
completely	completely	RB
independent	independent	JJ
in	in	IN
the	the	DT
performance	performance	NN
of	of	IN
their	their	PRP$
duties	duty	NNS
,	,	,
in	in	IN
the	the	DT
Union's	Union's	NNS
general	general	JJ
interest	interest	NN
.	.	.
Article I-32	Article I-32	CD
The	the	DT
Union's	Union's	NNS
advisory	advisory	JJ
bodies	body	NNS
1.	@ord@	CD
The	the	DT
European Parliament	European Parliament	NNP
,	,	,
the	the	DT
Council	Council	NNP
and	and	CC
the	the	DT
Commission	Commission	NNP
shall	shall	MD
be	be	VB
assisted	assist	VBN
by	by	IN
a	a	DT
Committee	Committee	NN
of	of	IN
the	the	DT
Regions	region	NNP
and	and	CC
an	an	DT
Economic	Economic	NNP
and	and	CC
Social	Social	NNP
Committee	Committee	NNP
,	,	,
exercising	exercise	VBD
advisory	advisory	JJ
functions.2	functions.2	CD
.	.	.
The	the	DT
Committee	Committee	NN
of	of	IN
the	the	DT
Regions	region	NNP
shall	shall	MD
consist	consist	VB
of	of	IN
representatives	representative	NNS
of	of	IN
regional	regional	JJ
and	and	CC
local	local	JJ
bodies	body	NNS
who	who	WP
either	either	RB
hold	hold	VBP
a	a	DT
regional	regional	JJ
or	or	CC
local	local	JJ
authority	authority	NN
electoral	electoral	JJ
mandate	mandate	NN
or	or	CC
are	be	RB
politically	politically	RB
accountable	accountable	JJ
to	to	TO
an	an	DT
elected	elect	VBN
assembly.3	assembly.3	CD
.	.	.
The	the	DT
Economic	Economic	NNP
and	and	CC
Social	Social	NNP
Committee	Committee	NNP
shall	shall	JJ
consist	consist	NNS
of	of	IN
representatives	representative	NNS
of	of	IN
organisations	organization	NNS
of	of	IN
employers	employer	NNS
,	,	NN
of	of	IN
the	the	DT
employed	employ	VBN
,	,	,
and	and	CC
of	of	IN
other	other	JJ
parties	party	NNS
representative	representative	NN
of	of	IN
civil	civil	JJ
society	society	NN
,	,	,
notably	notably	RB
in	in	IN
socio-economic	socio-economic	JJ
,	,	,
civic	civic	NN
,	,	,
professional	professional	JJ
and	and	CC
cultural	cultural	JJ
areas.4	areas.4	NN
.	.	.
The	the	DT
members	member	NNS
of	of	IN
the	the	DT
Committee	Committee	NN
of	of	IN
the	the	DT
Regions	region	NNP
and	and	CC
the	the	DT
Economic	Economic	NNP
and	and	CC
Social	Social	NNP
Committee	Committee	NNP
shall	shall	MD
not	not	RB
be	be	VB
bound	bind	VBN
by	by	IN
any	any	DT
mandatory	mandatory	JJ
instructions	instruction	NNS
.	.	.
They	they	PRP
shall	shall	MD
be	be	VB
completely	completely	RB
independent	independent	JJ
in	in	IN
the	the	DT
performance	performance	NN
of	of	IN
their	their	PRP$
duties	duty	NNS
,	,	,
in	in	IN
the	the	DT
Union's	Union's	NNS
general	general	JJ
interest	interest	NN
.	.	.
5.	@ord@	CD
Rules	rule	NNP
governing	govern	VBD
the	the	DT
composition	composition	NN
of	of	IN
these	these	DT
Committees	committee	NNS
,	,	,
the	the	DT
designation	designation	NN
of	of	IN
their	their	PRP$
members	member	NNS
,	,	VBG
their	their	PRP$
powers	power	NNS
and	and	CC
their	their	PRP$
operations	operation	NNS
are	be	VBP
set	set	VBN
out	out	IN
in	in	IN
Articles III-386	Articles III-386	JJ
to III-392	to III-392	NNP
.	.	.
The	the	DT
rules	rule	NNS
referred	refer	VBD
to	to	NN
in	in	IN
paragraphs 2	paragraphs 2	CD
and	and	CC
3	3	CD
governing	govern	VBD
the	the	DT
nature	nature	NN
of	of	IN
their	their	PRP$
composition	composition	NN
shall	shall	MD
be	be	VB
reviewed	review	VBN
at	at	IN
regular	regular	JJ
intervals	interval	NNS
by	by	IN
the	the	DT
Council	Council	NNP
to	to	TO
take	take	VB
account	account	NN
of	of	IN
economic	economic	JJ
,	,	,
social	social	JJ
and	and	CC
demographic	demographic	JJ
developments	development	NNS
within	within	IN
the	the	DT
Union	Union	NNP
.	.	.
The	the	DT
Council	Council	NNP
,	,	NN
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
the	the	DT
Commission	Commission	NNP
,	,	,
shall	shall	MD
adopt	adopt	VB
European	European	JJ
decisions	decision	NNS
to	to	TO
that	that	DT
end	end	NN
.	.	.
TITLE V	TITLE V	NNP
EXERCISE	exercise	NNP
OF	of	NNP
UNION	union	NNP
COMPETENCE	competence	NNP
CHAPTER I	CHAPTER I	NNP
COMMON	common	NNP
PROVISIONS	provision	NNP
Article I-33	Article I-33	CD
The	the	DT
legal	legal	JJ
acts	act	NNS
of	of	IN
the	the	DT
Union	Union	NNP
1.	@ord@	CD
To	To	TO
exercise	exercise	VB
the	the	DT
Union's	Union's	NNP
competences	competence	VBZ
the	the	DT
institutions	institution	NNS
shall	shall	MD
use	use	VB
as	as	IN
legal	legal	JJ
instruments	instrument	NNS
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
Part III	Part III	NNP
,	,	,
European	European	JJ
laws	law	NNS
,	,	,
European	European	JJ
framework	framework	NN
laws	law	NNS
,	,	,
European	European	JJ
regulations	regulation	NNS
,	,	,
European	European	JJ
decisions	decision	NNS
,	,	,
recommendations	recommendation	NNS
and	and	VBN
opinions	opinion	NNS
.	.	.
A	a	DT
European	European	JJ
law	law	NN
shall	shall	MD
be	be	VB
a	a	DT
legislative	legislative	JJ
act	act	NN
of	of	IN
general	general	JJ
application	application	NN
.	.	.
It	it	PRP
shall	shall	MD
be	be	VB
binding	bind	VBN
in	in	IN
its	its	PRP$
entirety	entirety	NN
and	and	CC
directly	directly	RB
applicable	applicable	VB
in	in	IN
all	all	DT
Member States	Member States	NNS
.	.	.
A	a	DT
European	European	JJ
framework	framework	NN
law	law	NN
shall	shall	MD
be	be	VB
a	a	DT
legislative	legislative	JJ
act	act	NN
binding	binding	RB
